時間[sec],試験力[kN],ストローク[mm],ひずみ[×10-6],荷重[N],モーメント[Nmm],断面二次モーメント,応力[Mpa]
0,0.0000313,0,-4,0.01565,0.23475,4.760166667,0.032055075
0.05,0,0,-4,0,0,,0
0.1,0.000219,0,0,0.1095,1.6425,,0.224283113
0.15,0.0000625,0,0,0.03125,0.46875,,0.064007738
0.2,-0.0000313,0.001,0,-0.01565,-0.23475,,-0.032055075
0.25,0.0000938,0.001,-4,0.0469,0.7035,,0.096062813
0.3,0.00025,0.002,0,0.125,1.875,,0.256030951
0.35,0.0000938,0.002,0,0.0469,0.7035,,0.096062813
0.4,0.0000625,0.002,-4,0.03125,0.46875,,0.064007738
0.45,0.000219,0.003,0,0.1095,1.6425,,0.224283113
0.5,0.000156,0.003,0,0.078,1.17,,0.159763314
0.55,0.0000625,0.004,0,0.03125,0.46875,,0.064007738
0.6,0.000219,0.004,0,0.1095,1.6425,,0.224283113
0.65,0.00025,0.004,0,0.125,1.875,,0.256030951
0.7,0.0001875,0.005,0,0.09375,1.40625,,0.192023213
0.75,0.00025,0.005,0,0.125,1.875,,0.256030951
0.8,0.000375,0.006,4,0.1875,2.8125,,0.384046427
0.85,0.00025,0.006,4,0.125,1.875,,0.256030951
0.9,0.0003125,0.007,4,0.15625,2.34375,,0.320038689
0.95,0.000594,0.007,4,0.297,4.455,,0.60832954
1,0.0005,0.007,4,0.25,3.75,,0.512061903
1.05,0.0005,0.008,8,0.25,3.75,,0.512061903
1.1,0.000625,0.008,8,0.3125,4.6875,,0.640077378
1.15,0.000875,0.009,4,0.4375,6.5625,,0.89610833
1.2,0.0006875,0.009,8,0.34375,5.15625,,0.704085116
1.25,0.00075,0.01,8,0.375,5.625,,0.768092854
1.3,0.00103,0.01,8,0.515,7.725,,1.054847519
1.35,0.000875,0.01,8,0.4375,6.5625,,0.89610833
1.4,0.000844,0.011,8,0.422,6.33,,0.864360492
1.45,0.000969,0.011,12,0.4845,7.2675,,0.992375967
1.5,0.00122,0.012,12,0.61,9.15,,1.249431042
1.55,0.001125,0.012,8,0.5625,8.4375,,1.152139281
1.6,0.00109,0.012,12,0.545,8.175,,1.116294948
1.65,0.00134,0.013,12,0.67,10.05,,1.372325899
1.7,0.00128,0.013,12,0.64,9.6,,1.310878471
1.75,0.00128,0.014,16,0.64,9.6,,1.310878471
1.8,0.00141,0.014,16,0.705,10.575,,1.444014565
1.85,0.0016875,0.015,16,0.84375,12.65625,,1.728208921
1.9,0.00147,0.015,16,0.735,11.025,,1.505461994
1.95,0.00159,0.015,16,0.795,11.925,,1.62835685
2,0.00172,0.016,16,0.86,12.9,,1.761492945
2.05,0.00172,0.016,20,0.86,12.9,,1.761492945
2.1,0.0015625,0.017,20,0.78125,11.71875,,1.600193446
2.15,0.00191,0.017,20,0.955,14.325,,1.956076468
2.2,0.002,0.017,20,1,15,,2.04824761
2.25,0.00184,0.018,20,0.92,13.8,,1.884387802
2.3,0.00191,0.018,20,0.955,14.325,,1.956076468
2.35,0.0021875,0.019,24,1.09375,16.40625,,2.240270824
2.4,0.0020625,0.019,24,1.03125,15.46875,,2.112255348
2.45,0.0020625,0.02,24,1.03125,15.46875,,2.112255348
2.5,0.0021875,0.02,24,1.09375,16.40625,,2.240270824
2.55,0.00241,0.02,24,1.205,18.075,,2.468138371
2.6,0.0021875,0.021,24,1.09375,16.40625,,2.240270824
2.65,0.00234,0.021,28,1.17,17.55,,2.396449704
2.7,0.0025625,0.022,28,1.28125,19.21875,,2.624317251
2.75,0.002375,0.022,28,1.1875,17.8125,,2.432294037
2.8,0.00247,0.022,28,1.235,18.525,,2.529585799
2.85,0.002625,0.023,28,1.3125,19.6875,,2.688324989
2.9,0.00275,0.023,28,1.375,20.625,,2.816340464
2.95,0.0025625,0.024,28,1.28125,19.21875,,2.624317251
3,0.002625,0.024,32,1.3125,19.6875,,2.688324989
3.05,0.0029375,0.025,32,1.46875,22.03125,,3.008363678
3.1,0.00275,0.025,32,1.375,20.625,,2.816340464
3.15,0.00291,0.025,32,1.455,21.825,,2.980200273
3.2,0.00297,0.026,32,1.485,22.275,,3.041647701
3.25,0.00303,0.026,36,1.515,22.725,,3.10309513
3.3,0.002875,0.027,32,1.4375,21.5625,,2.94435594
3.35,0.003,0.027,36,1.5,22.5,,3.072371416
3.4,0.00325,0.027,36,1.625,24.375,,3.328402367
3.45,0.00322,0.028,36,1.61,24.15,,3.297678653
3.5,0.00309,0.028,36,1.545,23.175,,3.164542558
3.55,0.003375,0.029,36,1.6875,25.3125,,3.456417843
3.6,0.00353,0.029,36,1.765,26.475,,3.615157032
3.65,0.0033125,0.03,40,1.65625,24.84375,,3.392410105
3.7,0.00334,0.03,36,1.67,25.05,,3.420573509
3.75,0.0036875,0.03,40,1.84375,27.65625,,3.776456532
3.8,0.0034375,0.031,36,1.71875,25.78125,,3.52042558
3.85,0.00347,0.031,40,1.735,26.025,,3.553709604
3.9,0.00384,0.032,40,1.92,28.8,,3.932635412
3.95,0.00378,0.032,44,1.89,28.35,,3.871187984
4,0.00372,0.032,40,1.86,27.9,,3.809740555
4.05,0.00375,0.033,44,1.875,28.125,,3.840464269
4.1,0.00384,0.033,40,1.92,28.8,,3.932635412
4.15,0.00375,0.034,40,1.875,28.125,,3.840464269
4.2,0.00366,0.034,40,1.83,27.45,,3.748293127
4.25,0.00391,0.035,44,1.955,29.325,,4.004324078
4.3,0.00391,0.035,44,1.955,29.325,,4.004324078
4.35,0.00375,0.035,44,1.875,28.125,,3.840464269
4.4,0.0039375,0.036,44,1.96875,29.53125,,4.032487483
4.45,0.00403,0.036,44,2.015,30.225,,4.127218935
4.5,0.00397,0.037,44,1.985,29.775,,4.065771507
4.55,0.00391,0.037,44,1.955,29.325,,4.004324078
4.6,0.004125,0.037,44,2.0625,30.9375,,4.224510696
4.65,0.00403,0.038,44,2.015,30.225,,4.127218935
4.7,0.00391,0.038,44,1.955,29.325,,4.004324078
4.75,0.00397,0.039,44,1.985,29.775,,4.065771507
4.8,0.00422,0.039,44,2.11,31.65,,4.321802458
4.85,0.0039375,0.04,44,1.96875,29.53125,,4.032487483
4.9,0.004,0.04,44,2,30,,4.096495221
4.95,0.00416,0.04,44,2.08,31.2,,4.26035503
5,0.004125,0.041,44,2.0625,30.9375,,4.224510696
