No.,ïœà (1),â◊èd(1)
,mm,N
1,0,5
2,0.115,20.5
3,0.23,36
4,0.345,49
5,0.491,60.5
6,0.634,69.5
7,0.766,76.5
8,0.912,83.5
9,1.045,89
10,1.192,95
11,1.331,100
12,1.47,105
13,1.613,109
14,1.748,112.5
15,1.886,115.5
16,2.025,118
17,2.163,120
18,2.291,121.5
19,2.427,123
20,2.568,124
21,2.695,124.5
22,2.834,124.5
23,2.964,125
24,3.087,124.5
25,3.202,124.5
26,3.318,124
27,3.433,123
28,3.547,122.5
29,3.663,121.5
30,3.779,120.5
31,3.894,119.5
32,4.008,118
33,4.123,117
34,4.238,115.5
35,4.352,114.5
36,4.468,113
37,4.583,111.5
38,4.698,110
39,4.813,108.5
40,4.929,106.5
41,5.045,104
42,5.16,101
43,5.276,97
44,5.391,92.5
45,5.506,88
46,5.62,85
47,5.735,84
48,5.85,83.5
49,5.965,83.5
50,6.079,83.5
51,6.195,83.5
52,6.309,84
53,6.423,84
54,6.538,84.5
55,6.653,84.5
56,6.767,85
57,6.881,85
58,6.997,85
59,7.112,85.5
60,7.226,85.5
61,7.34,85.5
62,7.455,85.5
63,7.569,85.5
64,7.683,85.5
65,7.799,85.5
66,7.913,85.5
67,8.027,85.5
68,8.143,86
69,8.259,86
70,8.375,86.5
71,8.49,87
72,8.607,87
73,8.723,87
74,8.837,87
75,8.951,87
76,9.067,86.5
77,9.189,86.5
78,9.308,86
79,9.424,86
80,9.539,86
81,9.656,86
82,9.77,86
83,9.887,86
84,10.003,86
85,10.121,86
86,10.268,86
87,10.425,86.5
88,10.568,86.5
89,10.701,86.5
90,10.833,87
91,10.95,86.5
92,11.066,86.5
93,11.182,86.5
94,11.297,86.5
95,11.412,86.5
96,11.529,86.5
97,11.645,87
98,11.76,87
99,11.876,87
100,11.993,87
101,12.108,87
102,12.225,87
103,12.342,87
104,12.459,87
105,12.575,87
106,12.691,87
107,12.808,87
108,12.929,87
109,13.044,87
110,13.158,87
111,13.274,87
112,13.393,87
113,13.509,87
114,13.623,87
115,13.739,87
116,13.855,87
117,13.983,87
118,14.142,87
119,14.279,87
120,14.406,87
121,14.534,87
122,14.662,87
123,14.776,86.5
124,14.891,87
125,15.006,87
126,15.12,87
127,15.235,87
128,15.351,87
129,15.466,87
130,15.58,87
131,15.695,87
132,15.81,87
133,15.924,87
134,16.038,87
135,16.154,87
136,16.268,87
137,16.382,87
138,16.496,87
139,16.612,87
140,16.726,87
141,16.841,87
142,16.956,87
143,17.071,87
144,17.186,87
145,17.3,87
146,17.416,87
147,17.531,87.5
148,17.645,87.5
149,17.761,87.5
150,17.877,87.5
151,17.991,87
152,18.106,87.5
153,18.221,87.5
154,18.336,87.5
155,18.45,88
156,18.564,87.5
157,18.68,87.5
158,18.794,88
159,18.909,88
160,19.024,88
161,19.141,88
162,19.256,88
163,19.37,88
164,19.485,88
165,19.604,88
166,19.72,88
167,19.836,88
168,19.951,88
169,20.068,88.5
170,20.183,88.5
171,20.298,88.5
172,20.415,88.5
173,20.531,88.5
174,20.646,88.5
175,20.764,88
176,20.88,88.5
177,20.995,88.5
178,21.11,88.5
179,21.226,88.5
180,21.342,88.5
181,21.459,88.5
182,21.575,89
183,21.692,89
184,21.808,89
185,21.923,89
186,22.042,88.5
187,22.157,88.5
188,22.274,88.5
189,22.389,88.5
190,22.506,88.5
191,22.621,88.5
192,22.737,88.5
193,22.853,88.5
194,22.971,88.5
195,23.087,89
196,23.237,89
197,23.375,89
198,23.518,89
199,23.656,89
200,23.79,89
201,23.925,89
202,24.057,89
203,24.185,89
204,24.301,89
205,24.416,89
206,24.531,89
207,24.646,89
208,24.761,89
209,24.875,89
210,24.99,89
211,25.104,89
212,25.219,89
213,25.333,89
214,25.449,89
215,25.563,89
216,25.677,89
217,25.793,89
218,25.907,89
219,26.022,89
220,26.137,89.5
221,26.252,89.5
222,26.367,89.5
223,26.482,89.5
224,26.597,89
225,26.711,89
226,26.828,89
227,26.946,89
228,27.061,89
229,27.175,89
230,27.291,89
231,27.407,89.5
232,27.522,89.5
233,27.637,90
234,27.758,89.5
235,27.874,89.5
236,27.99,89
237,28.107,89
238,28.222,88.5
239,28.337,88.5
240,28.452,89
241,28.567,89
242,28.683,89
243,28.798,89.5
244,28.914,90
245,29.029,90
246,29.145,90
247,29.26,90
248,29.375,90
249,29.491,90
250,29.606,90
251,29.721,90
252,29.836,90
253,29.952,90
254,30.067,89.5
255,30.182,89.5
256,30.298,89.5
257,30.413,89.5
258,30.528,89.5
259,30.643,89.5
260,30.759,89.5
261,30.874,89.5
262,30.988,90
263,31.103,90
264,31.22,90.5
265,31.348,90.5
266,31.484,90.5
267,31.608,90.5
268,31.752,90.5
269,31.892,90
270,32.043,89.5
271,32.158,89.5
272,32.272,89.5
273,32.389,89.5
274,32.504,89.5
275,32.622,89.5
276,32.738,89.5
277,32.854,89.5
278,32.971,89.5
279,33.085,89.5
280,33.204,90
281,33.319,90
282,33.435,90
283,33.55,90
284,33.666,90
285,33.781,90
286,33.896,90
287,34.011,90
288,34.126,90
289,34.241,90
290,34.355,90
291,34.47,90
292,34.601,90
293,34.732,90
294,34.861,90.5
295,35.009,90.5
296,35.15,90.5
297,35.267,90.5
298,35.384,90.5
299,35.499,90.5
300,35.613,90.5
301,35.728,90.5
302,35.843,90.5
303,35.958,90.5
304,36.071,90.5
