No.,ïœà (1),â◊èd(1)
,mm,N
1,0,5
2,0.269,33
3,0.542,51.5
4,0.806,64.5
5,1.097,76.5
6,1.36,85
7,1.622,92
8,1.883,97.5
9,2.158,102.5
10,2.423,105.5
11,2.686,107.5
12,2.946,108.5
13,3.244,109
14,3.517,109
15,3.779,108
16,4.038,107
17,4.297,106
18,4.594,103.5
19,4.87,101.5
20,5.13,99
21,5.398,95.5
22,5.659,90.5
23,5.948,81
24,6.217,74
25,6.475,72
26,6.738,71.5
27,6.999,72
28,7.308,72.5
29,7.565,72.5
30,7.827,73
31,8.087,73
32,8.357,73
33,8.645,73.5
34,8.903,73.5
35,9.164,74
36,9.427,74
37,9.72,74
38,9.98,74
39,10.239,74
40,10.501,74.5
41,10.768,74.5
42,11.072,74.5
43,11.333,75
44,11.597,75.5
45,11.863,76
46,12.128,76
47,12.41,75
48,12.729,75
49,12.989,75
50,13.25,75
51,13.511,75
52,13.77,75.5
53,14.038,76
54,14.297,75.5
55,14.558,75.5
56,14.817,76
57,15.112,76
58,15.423,76
59,15.722,76
60,15.981,76
61,16.241,76
62,16.499,76
63,16.758,76.5
64,17.018,76
65,17.277,75.5
66,17.538,75.5
67,17.8,75.5
68,18.062,76
69,18.331,76.5
70,18.591,76
71,18.856,76
72,19.121,76
73,19.38,75.5
74,19.644,75.5
75,19.905,76
76,20.166,76.5
77,20.43,76.5
78,20.69,76
79,20.954,75
80,21.218,75.5
81,21.48,75.5
82,21.743,75.5
83,22.006,75.5
84,22.269,75.5
85,22.534,75
86,22.795,75.5
87,23.057,75.5
88,23.317,76
89,23.584,76
90,23.845,76
91,24.105,76
92,24.364,75.5
93,24.625,76
94,24.887,76
95,25.148,76
96,25.407,76
97,25.668,76
98,25.927,76
99,26.187,76
100,26.446,76
101,26.704,76
102,26.963,76
103,27.222,75.5
104,27.482,76
105,27.742,75.5
106,28.002,76
107,28.263,75.5
108,28.522,75.5
109,28.784,75.5
110,29.045,75.5
111,29.305,75.5
112,29.567,75.5
113,29.827,76
114,30.087,76
115,30.349,75.5
116,30.609,75.5
117,30.882,75.5
118,31.175,75.5
119,31.46,75.5
120,31.747,76
121,32.044,76
122,32.351,75.5
123,32.667,76.5
124,32.983,77
125,33.298,76
126,33.626,75.5
127,33.915,75.5
128,34.215,75.5
129,34.526,75.5
130,34.835,75.5
131,35.152,76
132,35.464,76.5
133,35.765,76
134,36.052,76
135,36.368,76
136,36.662,76
137,36.948,76
138,37.25,76
139,37.538,76.5
140,37.812,76.5
141,38.071,76.5
142,38.331,77
143,38.59,77
144,38.849,77
145,39.109,76.5
146,39.368,76.5
147,39.629,76.5
148,39.889,76.5
149,40.149,77
150,40.41,77
151,40.67,77.5
152,40.93,77.5
153,41.192,77.5
154,41.453,77
155,41.713,76.5
156,41.974,76.5
157,42.234,76.5
158,42.494,77
159,42.755,77
160,43.015,77.5
161,43.275,77.5
162,43.533,77.5
163,43.793,77.5
164,44.053,77.5
165,44.312,77
166,44.572,77
167,44.832,77
168,45.093,77
169,45.354,77.5
170,45.612,77.5
171,45.872,77.5
172,46.131,77.5
173,46.391,78
174,46.654,78
175,46.918,78
176,47.183,78
177,47.444,78.5
178,47.71,79
179,47.977,79
180,48.268,79.5
181,48.552,79
182,48.82,79
183,49.08,79.5
184,49.339,79
185,49.599,79
186,49.861,79
187,50.12,78.5
188,50.384,78.5
189,50.652,78.5
190,50.961,78.5
191,51.262,78.5
192,51.526,79
193,51.785,79.5
194,52.044,79.5
195,52.303,79.5
196,52.563,79
197,52.824,79
198,53.085,79.5
199,53.349,79.5
200,53.61,79.5
201,53.874,79
202,54.139,78.5
203,54.405,78.5
204,54.666,78.5
205,54.93,79
206,55.193,79
207,55.456,79
208,55.72,79
209,55.981,79
210,56.243,79
211,56.505,79.5
212,56.764,80
213,57.027,80
214,57.284,80
215,57.545,80
216,57.805,80.5
217,58.069,80.5
218,58.334,80.5
219,58.594,80.5
220,58.859,80
221,59.12,80
222,59.38,80
223,59.64,80.5
224,59.899,80.5
225,60.159,80
226,60.42,80
227,60.689,80
228,61,80
229,61.288,80
230,61.611,80
231,61.914,80
232,62.179,80.5
233,62.439,81
234,62.701,80.5
235,62.967,80.5
236,63.228,80.5
237,63.49,80
238,63.753,80
239,64.013,80
240,64.274,80
241,64.561,80.5
242,64.859,80.5
243,65.121,80.5
244,65.385,80
245,65.645,80.5
246,65.906,80.5
247,66.168,80.5
248,66.428,80.5
249,66.689,81
250,66.961,81
251,67.263,81.5
252,67.582,81
253,67.85,81
254,68.11,81
255,68.41,81
256,68.714,80.5
257,69.015,80.5
258,69.311,81
259,69.571,81
260,69.83,81
261,70.09,81
262,70.352,81
263,70.615,81.5
264,70.877,81.5
265,71.138,81.5
266,71.403,81.5
267,71.666,81
268,71.928,81
269,72.193,81
270,72.491,81.5
271,72.792,81.5
272,73.079,82.5
273,73.34,82.5
274,73.6,82.5
275,73.861,82.5
276,74.123,82
277,74.382,82
278,74.641,81.5
279,74.9,81
280,75.159,81.5
281,75.419,81.5
282,75.678,82
283,75.937,82
284,76.197,82
285,76.455,81.5
286,76.749,81.5
287,77.054,81
288,77.354,81
289,77.616,81
290,77.881,81
291,78.14,81.5
292,78.401,81.5
293,78.665,81.5
294,78.925,82
295,79.185,82
296,79.462,82.5
297,79.743,82.5
298,80.004,82
299,80.266,81.5
300,80.527,81.5
